
#CC  	mndaadendaan	mn_aadendaan	
#CC  	mndaadenmaa	mn_aadenmaa	
#CC  	nmiinzis	_miinjis	
#CC sync 	__damoojige	gndamooj_ge	
finalV nDel  	gtwena	gtwe__	
g/d  	aazhgema	aazhdema	
g/k  	gaakaashkjii'aan	gaagaashkjii'aan	
gndelg  	we_nesh	wegnesh	
gndelg  	we_nesh	wegnesh	
hyphen  	Anishnaabe_kwe	_Nishnaabe-kwe	
i/a  	gniwaabndaan	gnawaabndaan	
i/a  	gniwendaan	gnawendaan	
i/a aa/ii 	shki'aawi	shka'iiwi	
i/e  	aabdik	aabdek	
i/o  	bbaatiino	bbaatiini	
i/o  	bgonezo	bgonezi	
i/o  	nigno	nigni	
i/oo  	aajbi'we	aajboowe	
ii/e  	daanggwiiwenaa	daanggw_ewenaa	
ii/e  	jiichiibaaksenh	j_echiibaaksenh	
j/d	aandpinaa	aanjpinaa	
j/d  	aanjgoodoon	aandgoodoon	
j/d  	aanjsidoon	aandsidoon	
j/d  	aazhgijwebnaan	aazhgidwebnaan	
j/d      	aanjshin	aandshin	
j/d      	aanjsijge	aandsijge	
jgDelj  	bshkonaajge	bshkonaa_ge	
jgDelj  	bzindaajge	bzindaa_ge	
jgDelj bonusVV 	wiinziikaajge	wiinziik___ge	
k/g  	bekish	begish	
k/g  	bshakiish-dbikat	bshagiish-dbikat	
k/g  	gaakaashkjiiwaa	gaagaashkjiiwaa	
loc  	aazhwi'iing	aazhwi'ii__	
loc  	naamyi'iing	naamyi'ii__	
loc  	naawyi'iing	naawyi'ii__	
loc  	niisyi'iing	niisyi'ii__	
m/n  	bbaamendaan	bbaanendaan	
m/n  	bbaamenmaa	bbaanenmaa	
mDel  	maajiiwda_waa	maajiiwdamwaa	
mDel  	zaagjiwda_waa	zaagjiwdamwaa	
nDel 	aaniin	aanii_	
nas place  	maanpii	maampii	
nasV  	nenaabgaanh	nenaabgaan_	
nasV  	wegwenh	wegwen_	
nasV  	ya'aanh	ya'aa__	
nasalV  	wegwenh	wegwen_	
nasalV complex 	dkwiind_maa__	dkwiindgwaanh	
nd/nj  	aanjgoonaa	aandgoonaa	
ndel  	aaniin	aanii_	
ndel  	gegiin	gegii_	
ndel  	gegiinwin	gegiinwi_	
ndel  	gegoon	gegoo_	
ndel  	geniin	genii_	
ndel  	geniinwin	geniinwi_	
ndel  	gewiin	gewii_	
ngDeln  	bezhgoongzhiiwgamik	bezhgoo_gzhiiwgamik	
ngDeln  	mjinkaawan	mji_kaawan	
ngDeln  	nengaach	ne_gaach	
ngDeln  	zhgaangwinsh	zhgaa_gwinsh	
nj/nd  	biinjse	biindse	
nzDeln  	bsha_zhewaa	bshanzhewaa	
nzDeln  	maa_zh'aa	maanzh'aa	
nzDeln a/i 	bsh_izhewaa	bshanzhewaa	
nzDeln a/o 	giikginzo	giikgi_za	
o/a  	besho	besha	
o/i  	niiskendmo'aa	niiskendmi'aa	
o/i  	nsidpodaan	nsidpidaan	
pej  	yaabes_mosh	yaabesim___	
sh/ch  	gaashiinyi	gaachiinyi	
shkDelsh  	aanzwe__kwaa	aanzweshkwaa	
shkDelsh  	nenooshkaashiins	nenoo__kaashiins	
shkDelsh  	ziinskiigme	ziin'kiigme	
shkDelsh a/i 	npaaji-nsastam	npaaji-ns_itam	
shkDelsh a/i 	ns_itaagzi	nsastaagzi	
shkDelsh a/i 	ns_itam	nsastam	
shkDelsh a/i 	ns_itamoonaa	nsastamoonaa	
shkDelsh a/i 	ns_itawaa	nsastawaa	
stopDel  	aayaazh_we	aayaazhkwe	
sync  	Anishinaabe	_Nish_naabe	
sync  	Anishnaabemwin	_Nishnaabemwin	
sync  	Nmeb_ni-giizis	Nmebin_-giizis	
sync  	abwi	_bwi	
sync  	abwiins	_bwiins	
sync  	amik	_mik	
sync  	biimsk_webshkige	biimskowebshkige	
sync  	n_wemaa	nawemaa	
sync  	paanaazhkawaa	paanaashk_waa	
sync  	zhaagoozkawaa	zhaagoosk_waa	
sync clusterVoi 	zhaagoozk_amwaa	zhaagooskma_waa	
sync shkDelsh 	mta__k_mik	mtashkamik	
sync_sim  	jiig_ya'iing	jiigiy__iing	
sync_sim  	jiigyi'iing	jiig_iyiing	
sync_sim  	maajiinaashk_waa	maajiinaazhkawaa	
sync_sim  	mk_waangzhe	mkawaangzhe	
sync_sim  	mooshk_'an	mooshka'an	
sync_sim  	ngo-db__aabaan	ngo-dba'aabaan	
sync_sim  	ngodb__aabaan	ngodba'aabaan	
v_length  	bbaa_yaa	bbaa-yaa	
v_length  	bzagwii	bzigwii	
v_length  	m_inwaa	miinwaa	
v_length  	mbijiisin	mb___isin	
v_length  	nd_awaa__	ndaawaach	
v_length  	nd_awaach	ndaawaach	
v_length  	noongo	n_ongo	
v_length  	noongom	n_ongo_	
v_length  	oodi	_odi	
vwOverdel  	mnaabmiwewzi	mnaabm__ewzi	
vwOverdel  	mnowaan'gozi	mn__aan'gozi	
wa/o  	gegwa	geg_o	
wa/oo  	washtibi	ooshtibi	
wa/oo    	aadwa'wii	aad_oowii	
wcc  	Wjibwemo	_Jibwemo	
wcc  	Wjibwesin	_Jibwesin	
wcc  	aabziiwshin	aabzii_shin_	
wcc  	aakziiwgamik	aakzii_gamik	
wcc  	chaawshin	chaa_shin	
wcc  	daawewgamik	daawe_gamik	
wcc  	daawewnini	daawe_nini	
wcc  	giiwsaadendaan	gii_saadendaan	
wcc  	giiwsaadendam	gii_saadendam	
wcc  	giiwsaadenmaa	gii_saadenmaa	
wcc  	wiiwkwaan	wii_kwaan	
wcc  	wiiwkwendbebzon	wii_kwendbebzon	
wcc  	wjepaadzi	_jepaadzi	
wcc  	wjepzi	_jepzi	
wcc  	wjiik	_jiik	
wcc  	wmba'aan	_mba'aan	
wcc  	wmba'go	_mba'go	
wcc  	wmbaabiigbidoon	_mbaabiigbidoon	
wcc  	wmbaabiigbinaa	_mbaabiigbinaa	
wcc  	wmbaabiignaa	_mbaabiignaa	
wcc  	wmbaabiignaan	_mbaabiignaan	
wcc  	wmbaabiignigaade	_mbaabiignigaade	
wcc  	wmbaabiignigaaza	_mbaabiignigaaza	
wcc  	wmbaabte	_mbaabte	
wcc  	wmbaashi	_mbaashi	
wcc  	wmbaasin	_mbaasin	
wcc  	wmbabgwaashkni	_mbabgwaashkni	
wcc  	wmbawaa	_mbawaa	
wcc  	wmbigwaashkni	_mbigwaashkni	
wcc  	wmbiigwewe	_mbiigwewe	
wcc  	wmbiigwewe	_mbiigwewe	
wcc  	wmbiigwewebde	_mbiigwewebde	
wcc  	wmbiigwewebzo	_mbiigwewebza	
wcc  	wmbiigweweshmaa	_mbiigweweshmaa	
wcc  	wmbiigzi	_mbiigzi	
wcc  	wmbinaa	_mbinaa	
wcc  	wmbinaan	_mbinaan	
wcc  	wmbinmoo'aa	_mbinmoo'aa	
wcc  	wmbishkaa	_mbishkaa	
wcc  	wmbishkaa	_mbishkaa	
wcc  	wmbisjige	_mbisjige	
wcc  	wmboomaa	_mboomaa	
wcc  	wmboondaan	_mboondaan	
wcc  	wndaabkaadaan	_ndaabkaadaan	
wcc  	wndaabso	_ndaabsa	
wcc  	wndaabte	_ndaabte	
wcc  	wndaadzi	_ndaadzi	
wcc  	wndaanmat	_ndaanmat	
wcc  	wndademo	_ndadema	
wcc  	wndagoode	_ndagoode	
wcc  	wndagoojdoon	_ndagoojdoon	
wcc  	wndagoojmaa	_ndagoojmaa	
wcc  	wndane'aan	_ndane'aan	
wcc  	wndanewaa	_ndanewaa	
wcc  	wndawewdam	_ndawewdam	
wcc  	wnde	_nde	
wcc  	wndendi	_ndendi	
wcc  	wndin'ge	_ndin'ge	
wcc  	wndinaa	_ndinaa	
wcc  	wndinaan	_ndinaan	
wcc  	wndinmawaa	_ndinmawaa	
wcc  	wndotaan	_ndotaan	
wcc  	wndotwaa	_ndotwaa	
wcc  	wnendaan	_nendaan	
wcc  	wnenmaa	_nenmaa	
wcc  	wni'aa	_ni'aa	
wcc  	wnise	_nise	
wcc  	wnishi	_nishi	
wcc  	wnishin	_nishin	
wcc  	wnishkaa	_nishkaa	
wcc  	wnitoon	_nitoon	
wcc  	wnjibaa	_njibaa	
wcc  	wnjibde	_njibde	
wcc  	wnjibdoon	_njibdoon	
wcc  	wnjibnaa	_njibnaa	
wcc  	wnjibzo	_njibza	
wcc  	wnjida	_njida	
wcc  	wnjigaa	_njigaa	
wcc  	wnjigaa	_njigaa	
wcc  	wnjigaabwi	_njigaabwi	
wcc  	wnjijwan	_njijwan	
wcc  	wnjikaamgat	_njikaamgat	
wcc  	wnjiknaa	_njiknaa	
wcc  	wnzaan	_nzaan	
wcc  	wnzamwaa	_nzamwaa	
wcc  	wnzo	_nzo	
wcc  	wnzwaa	_nzwaa	
wcc  	wzaabi	_zaabi	
wcc  	wzaabwin	_zaabwin	
wcc  	wzhashk	_zhashk	
wcc  	wzhi'aa	_zhi'aa	
wcc  	wzhibii'aan	_zhibii'aan	
wcc  	wzhibii'gaade	_zhibii'gaade	
wcc  	wzhibii'gaaza	_zhibii'gaaza	
wcc  	wzhibii'getmawaa	_zhibii'getmawaa	
wcc  	wzhibii'mawaa	_zhibii'mawaa	
wcc  	wzhibiiwaa	_zhibiiwaa	
wcc  	wzhibiiyge	_zhibii'ge	
wcc  	wzhichgaade	_zhichgaade	
wcc  	wzhichgaaza	_zhichgaaza	
wcc  	wzhigaadaan	_zhigaadaan	
wcc  	wzhigaanaa	_zhigaanaa	
wcc  	wzhigwaa	_zhigwaa	
wcc  	wzhiitaa	_zhiitaa	
wcc  	wzhiitaa'aa	_zhiitaa'aa	
wcc  	wzhiitaatoon	_zhiitaatoon	
